Ticker,Nama Perusahaan,Tanggal Listing,Sektor,Underwriter,Papan Pencatatan,Ownership,Listed Share,Persen Saham Ditawarkan,Rencana Penggunaan Dana IPO,Valuation Currency,Total Aset,Total Liabilitas,Pendapatan,Laba Kotor,Laba Berjalan (Bukan Komperhensif),Harga Final,1D %,1W %,1M %,6M %,1Y %
CMNT,PT Cemindo Gemilang Tbk,8-Sep-21,Basic Materials,PT Ciptadana Sekuritas Asia; PT UBS Sekuritas Indonesia; PT Mandiri Sekuritas,pengembangan,konglomerat,17125504000,0.1004,modal kerja,rupiah,1.76453E+13,1.42971E+13,6.43342E+12,1.28679E+12,-8.39791E+11,680,999,20,39,55,49
MINE,PT Sinar Terang Mandiri Tbk,10-Mar-25,Basic Materials,PT Trimegah Sekuritas Indonesia Tbk,utama,lainnya,4084435300,0.15,modal belanja,rupiah,1.50585E+12,8.80325E+11,1.36338E+12,3.54514E+11,2.25177E+11,216,999,126,112,,
MTMH,PT Murni Sadar Tbk,20-Apr-22,Healthcare,PT BCA Sekuritas; PT Ciptadana Sekuritas Asia,utama,lainnya,2068526950,0.1228,modal kerja,rupiah,1.38777E+12,6.36357E+11,8.4837E+11,3.95323E+11,1.22197E+11,1280,999,21,27,51,18
MPIX,PT Mitra Pedagang Indonesia Tbk,7-Feb-24,Technology,PT RHB Sekuritas Indonesia; PT KGI Sekuritas Indonesia,pengembangan,konglomerat,1571500000,0.2,modal kerja,rupiah,55369171422,15502541736,4.8572E+11,19504902740,12065548843,268,999,-50,-35,-78,-77
RAAM,PT Tripar Multivision Plus Tbk,8-May-23,Consumer Cyclicals,PT UOB Kay Hian Sekuritas; PT Sucor Sekuritas,utama,lainnya,6194200000,0.15,modal kerja,rupiah,1.11633E+12,1.98691E+11,11410000000,6601000000,-44000000,234,999,201,225,105,122
HAIS,PT Hasnur Internasional Shipping Tbk,1-Sep-21,Transportation & Logistic,PT RHB Sekuritas Indonesia,pengembangan,konglomerat,2626250000,0.2,modal belanja,rupiah,3.84296E+11,1.31999E+11,77773818670,15445429268,7882013440,300,999,-3,-12,-19,-19
PART,PT Cipta Perdana Lancar Tbk,5-Jul-24,Consumer Cyclicals,PT MNC Sekuritas; PT Erdikha Elit Sekuritas; PT KB Valbury Sekuritas,pengembangan,lainnya,2720000000,0.25,modal belanja,rupiah,2.21377E+11,1.57839E+11,2.38107E+11,48182457349,45353922403,105,999,23,64,-8,
BMHS,PT Bundamedik Tbk,6-Jul-21,Healthcare,PT Ciptadana Sekuritas Asia,utama,konglomerat,8603416176,0.0726,bayar hutang,rupiah,2.16254E+12,1.11284E+12,1.14814E+12,3.68104E+11,1.1846E+11,340,999,201,203,131,74
STAA,PT Sumber Tani Agung Resources Tbk,10-Mar-22,Consumer Non-Cyclicals,PT CIMB Niaga Sekuritas; PT DBS Vickers Sekuritas Indonesia,utama,lainnya,10903372600,0.0806,modal belanja,rupiah,5.68905E+12,2.77975E+12,4.17974E+12,1.63996E+12,8.04524E+11,600,999,36,52,93,67
CUAN,PT Petrindo Jaya Kreasi Tbk,8-Mar-23,Energy,PT Henan Putihrai Sekuritas; PT BRI Danareksa Sekuritas,utama,konglomerat,11241890000,0.1503,ekspansi,rupiah,1.41046E+12,4.05585E+11,9.13529E+11,-6.01225E+11,-2.91892E+11,220,999,200,309,991,3014
MASB,PT Bank Multiarta Sentosa Tbk,30-Jun-21,Financials,PT BCA Sekuritas,pemantauan khusus,lainnya,1226902970,0.15,modal kerja,rupiah,2.15379E+13,1.96481E+13,1.21223E+12,4.31357E+11,1.08192E+11,3360,999,3,0,5,4
ALII,PT Ancara Logistics Indonesia Tbk,7-Feb-24,Energy,PT Ciptadana Sekuritas Asia; PT Samuel Sekuritas Indonesia,utama,lainnya,15825800000,0.2,bayar hutang,rupiah,1.85516E+12,1.24085E+12,6.62881E+11,2.94865E+11,1.66133E+11,272,999,45,80,17,44
CBDK,PT Bangun Kosambi Sukses Tbk,13-Jan-25,Properties & Real Estate,PT Trimegah Sekuritas Indonesia Tbk,utama,lainnya,5668944500,0.1,ekspansi,rupiah,1.8157E+13,1.00144E+13,9.69408E+11,5.61103E+11,4.79102E+11,4060,999,157,83,,
BREN,PT Barito Renewables Energy Tbk,9-Oct-23,Infrastructures,PT BNI Sekuritas,utama,konglomerat,1.33786E+11,0.03,bayar hutang,usd,5.4479E+13,4.70396E+13,2.307E+12,1.19709E+12,6.22098E+11,780,999,203,464,788,759
RATU,PT Raharja Energi Cepu Tbk,8-Jan-25,Energy,PT Sucor Sekuritas; PT Henan Putihrai Sekuritas,pengembangan,lainnya,2715053800,0.2,modal kerja,usd,8.19599E+11,4.81453E+11,4.52667E+11,1.87504E+11,1.20425E+11,1150,999,202,557,,
BUAH,PT Segar Kumala Indonesia Tbk,9-Aug-22,Consumer Non-Cyclicals,PT Reliance Sekuritas Indonesia Tbk,pengembangan,lainnya,1000000000,0.2,modal kerja,rupiah,2.75986E+11,2.09415E+11,2.80332E+11,26666886003,1315883908,388,999,20,61,178,272
DAAZ,PT Daaz Bara Lestari Tbk,11-Nov-24,Basic Materials,PT Henan Putihrai Sekuritas,utama,lainnya,1997000000,0.1502,modal belanja,rupiah,3.4299E+12,2.15705E+12,2.5874E+12,2.06089E+11,84937130145,880,999,203,570,,
JARR,PT Jhonlin Agro Raya Tbk,4-Aug-22,Consumer Non-Cyclicals,PT Investindo Nusantara Sekuritas; PT Panca Global Sekuritas; PT Binaartha Sekuritas; PT Lotus Andalan Sekuritas,utama,konglomerat,8000000000,0.1529,modal kerja,rupiah,3.3321E+13,2.48661E+12,1.30306E+12,1.2895E+11,-80270000000,300,999,68,46,-8,-39
ISEA,PT Indo American Seafoods Tbk,8-Jul-24,Consumer Non-Cyclicals,PT KB Valbury Sekuritas,pengembangan,lainnya,1390000000,0.1318,modal kerja,rupiah,2.48491E+11,2.23573E+11,1.15908E+11,32566961157,345511105,250,999,41,-54,-71,
KSIX,PT Kentanix Supra International Tbk,8-Jan-25,Properties & Real Estate,PT UOB Kay Hian Sekuritas,pengembangan,start up,2137831800,0.15,modal kerja,rupiah,1.22044E+12,52719851000,1.26108E+11,74241282000,41466884000,452,999,-31,-52,,
CBUT,PT Citra Borneo Utama Tbk,8-Nov-22,Consumer Non-Cyclicals,PT BRI Danareksa Sekuritas; PT Maybank Sekuritas Indonesia; PT Mirae Asset Sekuritas Indonesia; PT UOB Kay Hian Sekuritas,pengembangan,konglomerat,3125000000,0.2,ekspansi,rupiah,2.45181E+12,2.29382E+12,4.7091E+12,-9.22141E+11,-59633000000,690,999,21,88,180,197
CGAS,PT Citra Nusantara Gemilang Tbk,8-Jan-24,Energy,PT Pilarmas Investindo Sekuritas,pengembangan,lainnya,1771429000,0.3,modal belanja,rupiah,1.88554E+11,1.12145E+11,1.82662E+11,35402308261,4634084942,338,999,46,-46,-61,-70
BOBA,PT Formosa Ingredient Factory Tbk,1-Nov-21,Consumer Non-Cyclicals,PT Victoria Sekuritas Indonesia,pengembangan,lainnya,1155750000,0.1211,modal kerja,rupiah,1.04187E+11,9556843878,46703489538,20347658548,11311059397,280,999,10,-11,-30,-31
BRRC,PT Raja Roti Cemerlang Tbk,9-Jan-25,Consumer Non-Cyclicals,PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,971500000,0.3001,modal kerja,rupiah,47568348659,27990918647,40950293938,7217766290,658106357,210,999,-20,-72,,
RMKO,PT Royaltama Mulia Kontraktorindo Tbk,31-Jul-23,Energy,PT Victoria Sekuritas Indonesia,pengembangan,lainnya,1250000000,0.2,modal belanja,rupiah,2.37082E+11,1.18709E+11,20915132345,4003778562,1831216675,450,999,21,-17,-43,-53
DEPO,PT Caturkarda Depo Bangunan Tbk,25-Nov-21,Consumer Cyclicals,PT Mirae Asset Sekuritas Indonesia,pengembangan,lainnya,6790000000,0.1508,modal belanja,rupiah,1.21175E+12,5.84663E+11,1.16742E+12,2.08086E+11,47142228011,482,999,27,1,3,-2
DGWG,PT Delta Giri Wacana Tbk,13-Jan-25,Basic Materials,PT BRI Danareksa Sekuritas; PT Samuel Sekuritas Indonesia; PT Shinhan Sekuritas Indonesia,utama,lainnya,5882353000,0.15,modal belanja,rupiah,1.78518E+12,1.76341E+12,1.48489E+12,4.08898E+11,32730000000,230,999,26,89,,
OMED,PT Jayamas Medica Industri Tbk,8-Nov-22,Healthcare,PT CLSA Sekuritas Indonesia; PT CIMB Niaga Sekuritas; PT Ciptadana Sekuritas Asia,utama,lainnya,27058850000,0.15,modal belanja,rupiah,1.44909E+12,3.63751E+11,6.66684E+11,2.03727E+11,88918000000,204,999,26,17,-3,3
OILS,PT Indo Oil Perkasa Tbk,6-Sep-21,Consumer Non-Cyclicals,PT Korea Investment And Sekuritas Indonesia,pengembangan,lainnya,454000000,0.3304,modal kerja,rupiah,73083000000,38593000000,1.19915E+11,8900000000,2415000000,270,999,126,22,-7,-18
KKES,PT Kusuma Kemindo Sentosa Tbk,8-Aug-22,Basic Materials,PT Mirae Asset Sekuritas Indonesia,pemantauan khusus,lainnya,1500000000,0.2,modal kerja,rupiah,1.19212E+11,83976875365,62369570267,13093364439,-3869952332,105,21,13,62,-10,-49
BINO,PT Perma Plasindo Tbk,25-Nov-21,Industrials,PT Semesta Indovest Sekuritas; PT Phillip Sekuritas Indonesia; PT Indo Capital Sekuritas,pengembangan,lainnya,2175000000,0.2,bayar hutang,rupiah,4.18424E+11,1.39634E+11,1.41434E+11,43816053442,1469730259,138,21,1,3,-4,-5
AADI,PT Adaro Andalan Indonesia Tbk,5-Dec-24,Energy,PT Trimegah Sekuritas Indonesia Tbk,utama,lainnya,7786891760,0.1,bayar hutang,usd,86140817490,42999869850,42118981905,12322062060,14630470785,5550,999,73,41,,
NICE,PT Adhi Kartiko Pratama Tbk,9-Jan-24,Basic Materials,PT KB Valbury Sekuritas; PT Trimegah Sekuritas Indonesia Tbk; PT UOB Kay Hian Sekuritas,pengembangan,lainnya,6082020000,0.2,modal belanja,rupiah,2.65717E+11,1.46681E+11,3.78563E+11,66860665592,40546970835,438,20,31,19,47,-19
PTMP,PT Mitra Pack Tbk,6-Mar-23,Industrials,PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,3169200000,0.2524,modal kerja,rupiah,1.26238E+11,49844022287,1.2365E+11,41034013215,16562689559,120,19,13,77,14,145
LIVE,PT Homeco Victoria Makmur Tbk,12-Feb-24,Consumer Cyclicals,PT Binaartha Sekuritas; PT Samuel Sekuritas Indonesia,pengembangan,lainnya,4593005014,0.176,bayar hutang,rupiah,2.936E+11,1.23107E+11,1.34225E+11,53192267025,19646585653,148,18,16,4,36,35
HALO,PT Haloni Jane Tbk,8-Feb-23,Healthcare,PT Danatama Makmur Sekuritas; PT KB Valbury Sekuritas,pengembangan,lainnya,5650000000,0.2,modal kerja,rupiah,3.09954E+11,2.84692E+11,1.99908E+11,19905159815,-8219903475,100,17,19,17,-20,-50
CNMA,PT Nusantara Sejahtera Raya Tbk,2-Aug-23,Consumer Cyclicals,PT Indo Premier Sekuritas; PT J.P. Morgan Sekuritas Indonesia; PT Mandiri Sekuritas; PT UBS Sekuritas Indonesia,utama,konglomerat,83345000000,0.1,ekspansi,rupiah,6.75955E+12,4.1069E+12,4.40105E+12,7.24138E+11,5.04535E+11,270,17,14,1,-4,-16
BEER,PT Jobubu Jarum Minahasa Tbk,6-Jan-23,Consumer Non-Cyclicals,PT UOB Kay Hian Sekuritas,pengembangan,lainnya,4000000000,0.2,modal kerja,rupiah,61270561863,15192857961,54901084237,22782242271,-11058064724,220,17,25,66,54,30
MSJA,PT Multi Spunindo Jaya Tbk,10-Jan-24,Consumer Cyclicals,PT BRI Danareksa Sekuritas; PT Reliance Sekuritas Indonesia Tbk,pengembangan,lainnya,5882352900,0.15,modal belanja,usd,1.42572E+12,4.2867E+11,5.67353E+11,1.23145E+11,56884119265,300,15,25,13,-3,13
GRPH,PT Griptha Putra Persada Tbk,18-Jan-24,Consumer Cyclicals,PT Elit Sukses Sekuritas,pengembangan,lainnya,1000000000,0.2,modal belanja,rupiah,73950057594,21025042960,14725921772,7841265534,1430965988,103,15,-17,-45,-51,-51
BDKR,PT Berdikari Pondasi Perkasa Tbk,3-Mar-23,Infrastructures,PT Semesta Indovest Sekuritas,utama,lainnya,4707100000,0.15,modal kerja,rupiah,1.11592E+12,5.4684E+11,4.77121E+11,1.41746E+11,77053374038,200,15,29,28,153,160
CRSN,PT Carsurin Tbk,10-Jul-23,Industrials,PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,2892000000,0.2075,modal belanja,rupiah,1.70091E+11,55562227348,3.63365E+11,1.8348E+11,30209836389,125,14,-10,-7,-2,-20
HYGN,PT Ecocare Indo Pasifik Tbk,13-Feb-24,Industrials,PT KGI Sekuritas Indonesia,pengembangan,lainnya,2525000000,0.2079,modal kerja,rupiah,1.39829E+11,61882288446,1.31412E+11,54981049260,8794484224,145,14,17,3,-8,-11
RSCH,PT Charlie Hospital Semarang Tbk,28-Aug-23,Healthcare,PT Shinhan Sekuritas Indonesia; PT Elit Sukses Sekuritas,pengembangan,lainnya,2650000000,0.2,ekspansi,rupiah,96925615357,3986559229,5941174501,1175960713,-625398563,115,14,16,5,30,178
FOLK,PT Multi Garam Utama Tbk,7-Aug-23,Industrials,PT KGI Sekuritas Indonesia; PT Samuel Sekuritas Indonesia,pengembangan,lainnya,3948133300,0.1444,modal belanja,rupiah,76693950132,4469822412,7525201923,4618641919,-378421337,100,13,-15,-27,-41,-45
GOTO,PT GoTo Gojek Tokopedia Tbk,11-Apr-22,Technology,PT Indo Premier Sekuritas; PT Mandiri Sekuritas; PT Trimegah Sekuritas Indonesia Tbk; PT Nilai Inti Sekuritas; PT CIMB Niaga Sekuritas; PT Credit Suisse Sekuritas Indonesia; PT CLSA Sekuritas Indonesia; PT Deutsche Sekuritas Indonesia; PT Aldiracita Sekuritas Indonesia; PT BNI Sekuritas; PT Panin Sekuritas Tbk; PT Sucor Sekuritas; PT KB Valbury Sekuritas,ekonomi baru,start up,1.18436E+12,0.0343,modal kerja,rupiah,1.48213E+14,1.76898E+13,3.92524E+13,6.8985E+12,-8.16947E+12,338,13,12,-30,-28,-72
MBMA,PT Merdeka Battery Materials Tbk,18-Apr-23,Basic Materials,PT Indo Premier Sekuritas; PT Trimegah Sekuritas Indonesia Tbk; PT UBS Sekuritas Indonesia; PT Macquarie Sekuritas Indonesia; PT Sucor Sekuritas; PT Aldiracita Sekuritas Indonesia; PT Ciptadana Sekuritas Asia,pengembangan,konglomerat,1.07995E+11,0.1024,bayar hutang,usd,2.87582E+13,9.14245E+12,4.39496E+12,4.75356E+11,-4.93098E+11,795,11,1,-1,-10,-32
CMRY,PT Cisarua Mountain Dairy Tbk,6-Dec-21,Consumer Non-Cyclicals,PT CLSA Sekuritas Indonesia; PT Mandiri Sekuritas; PT Panin Sekuritas Tbk,utama,lainnya,7934683000,0.15,modal belanja,rupiah,1.39493E+12,6.9299E+11,1.58175E+12,7.57422E+11,3.64502E+11,3080,11,12,8,27,44
VKTR,PT VKTR Teknologi Mobilitas Tbk,19-Jun-23,Consumer Cyclicals,PT Samuel Sekuritas Indonesia; PT Ciptadana Sekuritas Asia; PT Trimegah Sekuritas Indonesia Tbk,pengembangan,konglomerat,43750000000,0.2,bayar hutang,rupiah,1.03291E+12,7.58025E+11,1.07113E+12,1.92662E+11,68241000000,100,11,15,30,15,0
MCOL,PT Prima Andalan Mandiri Tbk,7-Sep-21,Energy,PT Buana Capital Sekuritas,utama,lainnya,3555560000,0.1,modal belanja,usd,4.90274E+12,2.42158E+12,1.16128E+12,4.98701E+11,3.00483E+11,1420,999,15,23,155,393
SPRE,PT Soraya Berjaya Indonesia Tbk,3-Jul-24,Consumer Cyclicals,PT MNC Sekuritas,akselerasi,lainnya,800000000,0.3,modal kerja,rupiah,24832103243,7119688866,49130209616,11454073301,2936432560,125,999,41,182,31,
MEJA,PT Harta Djaya Karya Tbk,12-Feb-24,Consumer Cyclicals,PT MNC Sekuritas; PT Erdikha Elit Sekuritas,akselerasi,lainnya,1917500000,0.2503,modal kerja,rupiah,50287076489,18626257449,16546905932,7938719517,2837036532,103,999,-2,59,83,290
UVCR,PT Trimegah Karya Pratama Tbk,27-Jul-21,Technology,PT Surya Fajar Sekuritas; PT Mirae Asset Sekuritas Indonesia; PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,2000000000,0.25,modal belanja,rupiah,45197327857,14358796166,1.94487E+11,4634336907,543491609,100,999,60,374,228,43
UDNG,PT Agro Bahari Nusantara Tbk,31-Oct-23,Consumer Non-Cyclicals,PT MNC Sekuritas; PT Korea Investment and Sekuritas Indonesia,akselerasi,lainnya,1750000000,0.2857,ekspansi,rupiah,15186124530,1122288441,3883986712,2017083946,1603608081,100,999,-5,20,-36,-50
PADA,PT Personel Alih Daya Tbk,8-Dec-22,Industrials,PT UOB Kay Hian Sekuritas; PT Erdikha Elit Sekuritas,pemantauan khusus,lainnya,3150000000,0.2857,modal kerja,rupiah,2.37418E+11,1.8591E+11,4.53496E+11,26291520919,-2375473564,100,999,10,144,-19,-50
IBOS,PT Indo Boga Sukses Tbk,25-Apr-22,Consumer Non-Cyclicals,PT NH Korindo Sekuritas Indonesia; PT Surya Fajar Sekuritas,akselerasi,lainnya,8036800000,0.2,modal kerja,rupiah,2.0962E+11,37999197769,67342297564,30034009045,8670385398,100,999,18,21,-8,152
WIDI,PT Widiant Jaya Krenindo Tbk,10-Jul-23,Industrials,PT Artha Sekuritas Indonesia,akselerasi,lainnya,1600000000,0.25,modal kerja,rupiah,16705893953,6590764278,11041189690,4559342330,1010755134,100,999,8,40,-56,-92
RELF,PT Graha Mitra Asia Tbk,22-Jun-23,Properties & Real Estate,PT UOB Kay Hian Sekuritas,akselerasi,lainnya,5727800000,0.2095,modal belanja,rupiah,1.66038E+11,47576000000,18347000000,9427000000,77883323364,90,999,57,53,-71,-83
IKPM,PT Ikapharmindo Putramas Tbk,8-Nov-23,Healthcare,PT OCBC Sekuritas Indonesia,pengembangan,lainnya,1684662500,0.2,modal belanja,rupiah,4.15412E+11,2.31508E+11,1.4328E+11,60617045178,7820082753,165,10,5,16,52,67
SICO,PT Sigma Energy Compressindo Tbk,8-Apr-22,Energy,PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,910000000,0.2967,ekspansi,rupiah,7.07444E+13,29927805970,55027724413,24321508093,6841129544,230,10,-16,-32,-21,-40
NANO,PT Nanotech Indonesia Global Tbk,10-Mar-22,Consumer Non-Cyclicals,PT UOB Kay Hian Sekuritas,akselerasi,start up,4285000000,0.2999,modal belanja,rupiah,42464000000,3439000000,18213000000,7561000000,2435000000,100,999,60,-11,-49,-74
CHIP,PT Pelita Teknologi Global Tbk,8-Feb-23,Technology,PT Lotus Andalan Sekuritas,akselerasi,start up,806000000,0.2481,modal kerja,rupiah,61253286000,45721982000,56635038000,10150775000,-5014838000,160,999,44,322,888,1306
LMAX,PT Lupromax Pelumas Indonesia Tbk,9-Aug-23,Consumer Cyclicals,PT Shinhan Sekuritas Indonesia,akselerasi,lainnya,650000000,0.2609,belanja modal,rupiah,28335811674,17101553682,37693608446,16978246689,155841482,200,999,46,0,-36,-86
WGSH,PT Wira Global Solusi Tbk.,6-Dec-21,Technology,PT Shinhan Sekuritas Indonesia,akselerasi,start up,1042500000,0.2,modal kerja,rupiah,23750439867,2323307736,10558176845,5794358207,1832046461,140,999,59,15,47,9
VTNY,PT Venteny Fortuna International Tbk,15-Dec-22,Financials,PT BRI Danareksa Sekuritas; PT Surya Fajar Sekuritas; PT Mirae Asset Sekuritas Indonesia; PT Mega Capital Sekuritas,pengembangan,start up,6265193445,0.15,ekspansi,rupiah,3.54526E+11,2.73891E+11,29205224272,10982081910,3778232736,360,10,12,18,1,-27
IDEA,PT Idea Indonesia Akademi Tbk,9-Sep-21,Consumer Cyclicals,PT Indo Capital Sekuritas; PT Phillip Sekuritas Indonesia,akselerasi,lainnya,1062437500,0.2,modal kerja,rupiah,59323669225,22339743189,8407913402,7238586138,2645858968,140,999,-11,41,-50,-56
HAJJ,PT Arsy Buana Travelindo Tbk,5-Apr-23,Consumer Cyclicals,PT Surya Fajar Sekuritas,akselerasi,lainnya,2290500000,0.2999,modal kerja,rupiah,97242816189,45129761711,1.89728E+11,-12053839788,-5839090611,140,999,25,211,9,-7
BABY,PT Multitrend Indo Tbk,7-Sep-23,Consumer Cyclicals,PT UOB Kay Hian Sekuritas,pengembangan,konglomerat,2668586400,0.2001,modal kerja,rupiah,6.965E+11,3.10758E+11,1.62413E+11,74435299286,-516222013,266,9,-2,2,-43,-22
BATR,PT Benteng Api Technic Tbk,10-Jun-24,Basic Materials,PT KGI Sekuritas Indonesia,pengembangan,lainnya,3025000000,0.205,modal kerja,rupiah,1.1273E+11,41433504401,1.23185E+11,36249780086,9321047873,110,9,-19,-22,-32,
RUNS,PT Global Sukses Solusi Tbk,8-Sep-21,Technology,PT BRI Danareksa Sekuritas; PT Mirae Asset Sekuritas Indonesia,akselerasi,start up,983557875,0.2001,modal kerja,rupiah,35362158125,2927065535,176194433,170825588,-2560268340,254,9,58,84,-36,-31
MKTR,PT Menthobi Karyatama Raya Tbk,8-Nov-22,Consumer Non-Cyclicals,PT Danatama Makmur Sekuritas; PT KB Valbury Sekuritas; PT Wanteg Sekuritas,utama,konglomerat,12000000000,0.2083,ekspansi,rupiah,6.72184E+11,4.60312E+11,4.66973E+11,80739758000,26304647000,120,8,9,4,73,3
SWID,PT Saraswanti Indoland Development Tbk,7-Jul-22,Properties & Real Estate,PT Shinhan Sekuritas Indonesia,pengembangan,konglomerat,5385000000,0.0631,modal kerja,rupiah,2.66575E+11,1.43767E+11,1.27279E+11,64695066120,20437980109,200,8,-19,-28,-50,-60
KETR,PT Ketrosden Triasmitra Tbk,10-Nov-22,Infrastructures,PT Shinhan Sekuritas Indonesia,pengembangan,lainnya,2841262838,0.15,modal kerja,rupiah,1.41828E+12,7.20334E+11,1.61712E+11,95038769033,28154823508,300,7,-6,-25,-39,-23
MSTI,PT Mastersystem Infotama Tbk,8-Nov-23,Technology,PT Indo Premier Sekuritas; PT Maybank Sekuritas Indonesia,utama,lainnya,3138823600,0.15,bayar hutang,rupiah,2.17612E+12,8.93732E+11,7.45201E+11,1.45723E+11,49672007236,1355,7,2,0,11,14
PTMR,PT Master Print Tbk,8-Oct-24,Basic Materials,PT Profindo Sekuritas Indonesia,pengembangan,lainnya,1907000000,0.2281,modal kerja,rupiah,93374827334,51909970082,26793959256,7008126355,2291869698,128,7,2,0,2,
