Ticker,Nama Perusahaan,Tanggal Listing,Sektor,Underwriter,Papan Pencatatan,Ownership,Listed Share,Persen Saham Ditawarkan,Rencana Penggunaan Dana IPO,Valuation Currency,Total Aset,Total Liabilitas,Pendapatan,Laba Kotor,Laba Berjalan (Bukan Komperhensif),Harga Final,1D %,1W %,1M %,6M %,1Y %
AREA,PT Dunia Virtual Online Tbk,1-Apr-24,Consumer Cyclicals,PT Panin Sekuritas Tbk,pengembangan,start up,2539601000,0.2008,modal belanja,rupiah,2.21081E+11,60114052829,30931147656,10776423374,1846798291,131,6,-14,-14,63,247
HGII,PT Hero Global Investment Tbk,9-Jan-25,Infrastructures,PT OCBC Sekuritas Indonesia; PT UOB Kay Hian Sekuritas,pengembangan,lainnya,6500000000,0.2,modal belanja,rupiah,7.27889E+11,2.58317E+11,56516437000,50842348000,26307712000,200,6,-3,-6,,
TLDN,PT Teladan Prima Agro Tbk,12-Apr-22,Consumer Non-Cyclicals,PT BNI Sekuritas; PT CIMB Niaga Sekuritas,pengembangan,lainnya,12946530200,0.04,bayar hutang,rupiah,4.84834E+12,3.76212E+12,2.04214E+12,7.6296E+11,2.68776E+11,580,6,1,17,0,-14
NSSS,PT Nusantara Sawit Sejahtera Tbk,10-Mar-23,Consumer Non-Cyclicals,PT Samuel Sekuritas Indonesia; PT BRI Danareksa Sekuritas; PT Sucor Sekuritas; PT Mirae Asset Sekuritas Indonesia; PT Yulie Sekuritas Indonesia Tbk; PT Phillip Sekuritas Indonesia; PT Danasakti Sekuritas Indonesia,pengembangan,lainnya,23788235300,0.15,modal belanja,rupiah,2.93265E+12,2.30733E+12,8.64315E+11,3.45297E+11,-64599000000,127,6,3,14,52,38
HILL,PT Hillcon Tbk,1-Mar-23,Energy,PT Mirae Asset Sekuritas Indonesia; PT Sucor Sekuritas; PT Macquarie Sekuritas Indonesia,utama,lainnya,2948300000,0.15,modal kerja,rupiah,3.09479E+12,2.23478E+12,2.17121E+12,5.79102E+11,-2.60429E+11,1250,6,26,62,132,93
AMMS,PT Agung Menjangan Mas Tbk,4-Aug-22,Consumer Non-Cyclicals,PT Indo Capital Sekuritas,akselerasi,lainnya,1200000000,0.2,modal kerja,rupiah,48423025720,1988807959,1920384057,1150493600,-301351432,100,5,8,35,-59,-63
DOOH,PT Era Media Sejahtera Tbk,8-May-23,Consumer Cyclicals,PT Indo Capital Sekuritas; PT KGI Sekuritas Indonesia,pengembangan,start up,7737500000,0.2,modal kerja,rupiah,79524869710,9144769845,31038251553,15767120205,6318199485,100,5,-1,-48,60,-45
TOSK,PT Topindo Solusi Komunika Tbk,7-Feb-24,Technology,PT MNC Sekuritas; PT Erdikha Elit Sekuritas,pengembangan,start up,4375000000,0.2,modal kerja,rupiah,87673817000,49635805000,1.35495E+12,15308713000,1585481000,125,4,-23,-19,-60,-60
NCKL,PT Trimegah Bangun Persada Tbk,12-Apr-23,Basic Materials,PT BNP Paribas Securities Indonesia; PT Citigroup Sekuritas Indonesia; PT Credit Suisse Sekuritas Indonesia; PT Mandiri Sekuritas; PT DBS Vickers Sekuritas Indonesia; PT OCBC Sekuritas Indonesia; PT UOB Kay Hian Sekuritas,utama,konglomerat,63098600000,0.1267,bayar hutang,rupiah,3.35923E+13,1.9617E+13,9.04041E+12,4.48902E+12,4.30569E+12,1250,4,16,-10,-21,-28
RGAS,PT Kian Santang Muliatama Tbk,8-Nov-23,Energy,PT Erdikha Elit Sekuritas,pengembangan,lainnya,1459200000,0.229,modal belanja,rupiah,52583752249,1528180938,12375275001,4495661360,1208248812,120,4,-8,-13,-21,-13
AMMN,PT Amman Mineral Internasional Tbk,7-Jul-23,Basic Materials,PT BNI Sekuritas; PT Mandiri Sekuritas; PT CLSA Sekuritas Indonesia; PT DBS Vickers Sekuritas Indonesia; PT BRI Danareksa Sekuritas; PT Maybank Sekuritas Indonesia; PT Samuel Sekuritas Indonesia,utama,konglomerat,71915881656,0.088,modal belanja,usd,1.01173E+14,4.49848E+13,4.40579E+13,2.55131E+13,1.71051E+13,1695,4,4,69,282,581
CHEM,PT Chemstar Indonesia Tbk,8-Jul-22,Basic Materials,PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,1700000000,0.2941,modal kerja,rupiah,90598393183,48497676787,89623687082,35214484287,12900178620,150,3,-17,-18,-6,-29
ERAL,PT Sinar Eka Selaras Tbk,8-Aug-23,Consumer Cyclicals,PT Mirae Asset Sekuritas Indonesia; PT BNI Sekuritas,utama,start up,5187500000,0.2,modal kerja,rupiah,1.40634E+12,4.71648E+11,3.60182E+11,40131786696,18895697547,390,3,-6,-5,-22,-39
VERN,PT Verona Indah Pictures Tbk,8-Oct-24,Consumer Cyclicals,PT UOB Kay Hian Sekuritas; PT UOB Kay Hian Sekuritas,pengembangan,lainnya,4765525000,0.2354,modal kerja,rupiah,3.46233E+11,34004996598,67096470588,16051361035,8692560683,195,3,4,1,-54,
IRSX,PT Aviana Sinar Abadi Tbk,7-Feb-23,Technology,PT Shinhan Sekuritas Indonesia,pemantauan khusus,start up,5000000000,0.2,modal kerja,rupiah,72059076912,5095672725,8265491517,2621931108,2734532967,101,2,-7,-9,4,-50
GULA,PT Aman Agrindo Tbk,3-Aug-22,Consumer Non-Cyclicals,PT UOB Kay Hian Sekuritas,pengembangan,lainnya,1070362500,0.2,modal belanja,rupiah,1.40692E+11,45365000000,55230000000,5425000000,1740000000,250,2,-9,-16,78,34
HUMI,PT Humpuss Maritim Internasional Tbk,9-Aug-23,Energy,PT Reliance Sekuritas Indonesia Tbk,pengembangan,konglomerat,18046450000,0.15,belanja modal,usd,3.25298E+12,1.1578E+12,3.53334E+11,1.24139E+11,78279128270,100,2,51,89,-43,-28
HATM,PT Habco Trans Maritima Tbk,26-Jul-22,Transportation & Logistic,PT NH Korindo Sekuritas Indonesia,utama,lainnya,7000000000,0.1665,modal belanja,rupiah,4.18484E+11,61033273330,74593925150,25261063483,22345603643,160,2,18,181,81,33
MDIY,PT Daya Intiguna Yasa Tbk,19-Dec-24,Consumer Cyclicals,PT CIMB Niaga Sekuritas; PT Mandiri Sekuritas,utama,lainnya,25190392000,0.1,bayar hutang,rupiah,4.84446E+12,2.71199E+12,3.20576E+12,1.75351E+12,5.34215E+11,1650,2,8,1,,
OLIV,PT Oscar Mitra Sukses Sejahtera Tbk,17-May-22,Consumer Cyclicals,PT Danatama Makmur Sekuritas,akselerasi,lainnya,1900000000,0.211,modal kerja,rupiah,29068489770,12287566871,39387315515,8151207168,525081615,100,1,0,1,-70,-79
LABS,PT UBC Medical Indonesia Tbk,10-Jul-24,Healthcare,PT Lotus Andalan Sekuritas,pengembangan,lainnya,3950000000,0.1772,modal kerja,rupiah,1.60287E+11,1.10927E+11,1.36699E+11,56064247469,2189514903,135,1,33,-7,1,
ARCI,PT Archi Indonesia Tbk,28-Jun-21,Basic Materials,PT BNI Sekuritas; PT Mandiri Sekuritas; PT Citigroup Sekuritas Indonesia; PT Credit Suisse Sekuritas Indonesia; PT UOB Kay Hian Sekuritas,pengembangan,konglomerat,24835000000,0.15,bayar hutang,usd,9.08401E+12,6.85942E+12,4.96033E+12,2.71067E+12,1.48673E+12,750,1,0,-8,-27,-54
BELI,PT Global Digital Niaga Tbk,8-Nov-22,Technology,PT BCA Sekuritas; PT BRI Danareksa Sekuritas; PT DBS Vickers Sekuritas Indonesia; PT Morgan Stanley Sekuritas Indonesia; PT Credit Suisse Sekuritas Indonesia; PT Mandiri Sekuritas; PT BNI Sekuritas; PT Indo Premier Sekuritas; PT KB Valbury Sekuritas; PT Yulie Sekuritas Indonesia Tbk; PT Danasakti Sekuritas Indonesia,ekonomi baru,konglomerat,1.18475E+11,0.15,modal kerja,rupiah,1.68667E+13,8.70196E+12,6.71174E+12,-5.60757E+11,-2.50233E+12,450,0,5,6,1,4
EURO,PT Estee Gold Feet Tbk,8-Aug-22,Consumer Non-Cyclicals,PT Danatama Makmur Sekuritas,pengembangan,lainnya,2500000000,0.2,modal kerja,rupiah,21664481000,6090145000,24878124000,8904939000,3823840000,70,0,0,0,417,217
PGEO,PT Pertamina Geothermal Energy Tbk,24-Feb-23,Infrastructures,PT CLSA Sekuritas Indonesia; PT Credit Suisse Sekuritas Indonesia; PT Mandiri Sekuritas; PT HSBC Sekuritas Indonesia; PT Bahana Sekuritas; PT Danasakti Sekuritas Indonesia; PT Samuel Sekuritas Indonesia,utama,bumn,41396142000,0.25,ekspansi,usd,3.71178E+13,1.71731E+13,4.36387E+12,2.50527E+12,1.69194E+12,875,0,-1,-9,19,40
FUTR,PT Lini Imaji Kreasi Ekosistem Tbk,27-Feb-23,Consumer Cyclicals,PT Indo Capital Sekuritas; PT KGI Sekuritas Indonesia,pengembangan,start up,6390000000,0.2,modal kerja,rupiah,71736198070,11086516002,19792318182,13587339825,8670852326,100,0,42,21,-50,-50
YUPI,PT Yupi Indo Jelly Gum Tbk,25-Mar-25,Consumer Non-Cyclicals,PT CIMB Niaga Sekuritas; PT Mandiri Sekuritas,utama,lainnya,8544488700,0.1,modal belanja,rupiah,2.6874E+12,5.81234E+11,2.4104E+12,8.35136E+11,4.84252E+11,2390,0,-26,-33,,
SUNI,PT Sunindo Pratama Tbk,9-Jan-23,Energy,PT UOB Kay Hian Sekuritas,utama,lainnya,2500000000,0.24,bayar hutang,rupiah,4.65893E+11,1.23726E+11,2.4508E+11,66733837251,66921741830,300,0,1,-1,-7,23
CBPE,PT Citra Buana Prasida Tbk,6-Jan-23,Properties & Real Estate,PT Panin Sekuritas Tbk,pengembangan,lainnya,1356250000,0.2,ekspansi,rupiah,1.99871E+11,68017694848,19262541781,15262609325,85151022591,150,-1,19,-1,-11,-14
MDLA,PT Medela Potentia Tbk,15-Apr-25,Healthcare,PT Mandiri Sekuritas; PT Indo Premier Sekuritas,utama,lainnya,14012825000,0.25,bayar hutang,rupiah,5.69338E+12,3.57691E+12,1.07865E+13,1.01554E+12,2.52749E+11,188,-1,0,,,
DRMA,PT Dharma Polimetal Tbk,20-Dec-21,Consumer Cyclicals,PT CIMB Niaga Sekuritas; PT Sucor Sekuritas; PT MNC Sekuritas,utama,konglomerat,4705882300,0.15,modal belanja,rupiah,1.95988E+12,1.32235E+12,1.30664E+12,2.00498E+11,1.00099E+11,500,-1,5,27,21,20
WMPP,PT Widodo Makmur Perkasa Tbk,6-Dec-21,Consumer Non-Cyclicals,PT CIMB Niaga Sekuritas; PT Mirae Asset Sekuritas Indonesia; PT  Surya Fajar Sekuritas; PT Samuel Sekuritas Indonesia; PT KB Valbury Sekuritas; PT Yulie Sekuritas Indonesia Tbk; PT BRI Danareksa Sekuritas,pemantauan khusus,lainnya,29419000000,0.1502,modal kerja,rupiah,4.17559E+12,2.60976E+12,2.70699E+12,3.85665E+11,1.25702E+11,160,-1,-6,-5,-23,-26
PRAY,PT Famon Awal Bros Sedaya Tbk,8-Nov-22,Healthcare,PT Indo Premier Sekuritas,pengembangan,lainnya,13959422300,0.0217,ekspansi,rupiah,3.72294E+12,1.33754E+12,4.812E+11,1.17014E+11,20276000000,900,-1,-16,-18,-19,-23
GRIA,PT Ingria Pratama Capitalindo Tbk,8-Aug-23,Properties & Real Estate,PT Erdikha Elit Sekuritas,pengembangan,lainnya,7375720674,0.2624,bayar hutang,rupiah,3.95107E+11,3.1264E+11,4330212224,1610733562,130037004,120,-2,-2,-5,0,65
ENAK,PT Champ Resto Indonesia Tbk,8-Feb-22,Consumer Cyclicals,PT UOB Kay Hian Sekuritas,pengembangan,lainnya,2166666800,0.2,bayar hutang,rupiah,6.09399E+11,5.28411E+11,6.72799E+11,4.09361E+11,-53088000000,850,-3,-13,-6,122,44
UNTD,PT Terang Dunia Internusa Tbk,7-Feb-24,Consumer Cyclicals,PT Mirae Asset Sekuritas Indonesia; PT BRI Danareksa Sekuritas,pengembangan,lainnya,6666666700,0.25,modal kerja,rupiah,8.32597E+11,6.17469E+11,4.79772E+11,1.09957E+11,46003958181,240,-3,-27,-28,-50,-63
RMKE,PT RMK Energy Tbk,7-Dec-21,Energy,PT Indo Capital Sekuritas; PT Victoria Sekuritas Indonesia; PT Erdikha Elit Sekuritas; PT Semesta Indovest Sekuritas; PT Phillip Sekuritas Indonesia,utama,lainnya,4375000000,0.2,bayar hutang,rupiah,1.17211E+12,7.04672E+11,4.1369E+11,77198942427,39222616641,206,-3,10,10,218,356
MTEL,PT Dayamitra Telekomunikasi Tbk,22-Nov-21,Infrastructures,PT BRI Danareksa Sekuritas; PT Mandiri Sekuritas; PT Danasakti Sekuritas Indonesia; PT HSBC Sekuritas Indonesia; PT Investindo Nusantara Sekuritas; PT J.P. Morgan Sekuritas Indonesia; PT Morgan Stanley Sekuritas Indonesia; PT Panin Sekuritas Tbk; PT Samuel Sekuritas Indonesia; PT KB Valbury Sekuritas; PT Yulie Sekuritas Indonesia Tbk,pengembangan,bumn,83515452844,0.2763,modal belanja,rupiah,3.22554E+13,1.85715E+13,3.2268E+12,1.5857E+12,7.007E+11,800,-4,-4,-4,-14,-14
AEGS,PT Anugerah Spareparts Sejahtera Tbk,11-Sep-23,Consumer Cyclicals,PT Shinhan Sekuritas Indonesia,akselerasi,lainnya,1006000000,0.3976,modal belanja,rupiah,36126118883,21342126463,3865005006,686498728,163083186,100,-5,-32,-41,-10,-62
SURI,PT Maja Agung Latexindo Tbk,7-Dec-23,Healthcare,PT Shinhan Sekuritas Indonesia,pengembangan,lainnya,6334375000,0.2,modal belanja,rupiah,1.77093E+11,55039966261,9084543299,1558807820,-5917269225,170,-5,-4,-1,-18,-71
VAST,PT Vastland Indonesia Tbk,8-Feb-23,Properties & Real Estate,PT Erdikha Elit Sekuritas,pengembangan,lainnya,3055700000,0.2127,ekspansi,rupiah,2.76667E+11,80310194003,19037954757,18004082197,88812817488,108,-6,0,-8,-36,-41
KRYA,PT Bangun Karya Perkasa Jaya Tbk,25-Jul-22,Infrastructures,PT Indo Capital Sekuritas,pengembangan,lainnya,1625000000,0.2,modal kerja,rupiah,1.33072E+11,80031199636,37567947019,8094704969,3539816911,125,-6,-18,73,196,-35
ADCP,PT Adhi Commuter Properti Tbk,23-Feb-22,Properties & Real Estate,PT CIMB Niaga Sekuritas; PT Mirae Asset Sekuritas Indonesia; PT Maybank Sekuritas Indonesia; PT Sucor Sekuritas; PT Indosurya Bersinar Sekuritas; PT Panin Sekuritas Tbk; PT Yulie Sekuritas Indonesia Tbk,pengembangan,bumn,22222222200,0.1,modal kerja,rupiah,5.50398E+12,3.49299E+12,2.68129E+11,58848208615,42649456178,130,-6,-28,-28,-42,-49
ARKO,PT Arkora Hydro Tbk.,8-Jul-22,Infrastructures,PT Lotus Andalan Sekuritas; PT Mirae Asset Sekuritas Indonesia,pengembangan,lainnya,2928495000,0.2,modal kerja,rupiah,6.89021E+11,5.18719E+11,1.98393E+11,1.09761E+11,49511454000,300,-7,5,98,88,113
GTSI,PT GTS Internasional Tbk,8-Sep-21,Energy,PT Reliance Sekuritas Indonesia Tbk,pemantauan khusus,lainnya,15819142767,0.1517,modal belanja,usd,1.4182E+12,5.65675E+11,1.136E+11,5738505876,-9452028300,100,-7,-22,-26,-43,-36
TAYS,PT Jaya Swarasa Agung Tbk,6-Dec-21,Consumer Non-Cyclicals,PT NH Korindo Sekuritas Indonesia; PT KGI Sekuritas Indonesia,pengembangan,lainnya,1098920000,0.2187,modal belanja,rupiah,2.67651E+11,2.16647E+11,1.4711E+11,34097099675,2667603151,360,-7,-24,-44,-45,94
AVIA,PT Avia Avian Tbk,8-Dec-21,Basic Materials,PT Mandiri Sekuritas; PT Morgan Stanley Sekuritas Indonesia; PT UBS Sekuritas Indonesia; PT Credit Suisse Sekuritas Indonesia; PT Danasakti Sekuritas Indonesia; PT Trimegah Sekuritas Indonesia Tbk,utama,lainnya,61953555600,0.1001,modal kerja,rupiah,6.14023E+12,2.90325E+12,2.70209E+12,1.18964E+12,6.0346E+11,930,-7,-5,-2,-16,-22
ELIT,PT Data Sinergitama Jaya Tbk,6-Jan-23,Technology,PT NH Korindo Sekuritas Indonesia,pengembangan,start up,2031456532,0.2461,modal belanja,rupiah,97684321709,44857213259,1.36513E+11,37212135288,7561016833,120,-7,41,13,10,-24
OBMD,PT OBM Drilchem Tbk,8-Dec-21,Basic Materials,PT KGI Sekuritas Indonesia,pengembangan,lainnya,732000000,0.2486,modal kerja,rupiah,70367134356,0,46878911585,42922454121,2629436113,180,-7,-22,-31,-24,11
NINE,PT Techno9 Indonesia Tbk,5-Dec-22,Technology,PT Victoria Sekuritas Indonesia; PT Elit Sukses Sekuritas,akselerasi,start up,2157000000,0.2003,modal kerja,rupiah,23161016471,6706528196,12635154569,3943098463,-1333301977,75,-8,-37,-39,-59,-87
ISAP,PT Isra Presisi Indonesia Tbk,9-Dec-22,Consumer Cyclicals,PT UOB Kay Hian Sekuritas,akselerasi,lainnya,4020000000,0.3731,modal kerja,rupiah,42481000000,15136000000,9685000000,3388000000,-17490000000,96,-9,-26,17,-69,-89
HBAT,PT Minahasa Membangun Hebat Tbk,7-Aug-23,Properties & Real Estate,PT Lotus Andalan Sekuritas,akselerasi,lainnya,1040740800,0.2313,ekspansi,rupiah,41272733000,2665379000,11981896000,6734070000,2368575000,108,-9,-38,-49,-64,-76
MENN,PT Menn Teknologi Indonesia Tbk,18-Apr-23,Technology,PT Indo Capital Sekuritas; PT KGI Sekuritas Indonesia,akselerasi,start up,1434000000,0.3,modal belanja,rupiah,12492147084,984795198,4363045063,2680858045,74368998960,78,-9,-31,-45,42,-87
KAQI,PT Jantra Grupo Indonesia Tbk,10-Mar-25,Consumer Cyclicals,PT RHB Sekuritas Indonesia,pengembangan,start up,2075800000,0.2168,ekspansi,rupiah,74129409370,14970480161,39106954374,30238007668,7341462023,118,-10,-47,-58,,
MSIE,PT Multisarana Intan Eduka Tbk,10-Aug-23,Properties & Real Estate,PT MNC Sekuritas; PT KB Valbury Sekuritas,akselerasi,lainnya,1460000000,0.2466,ekspansi,rupiah,92555450249,11317531490,1571354165,1334867055,940684133,100,-10,-40,-58,-76,-85
LOPI,PT Logisticsplus International Tbk,11-Oct-23,Transportation & Logistic,PT Elit Sukses Sekuritas,akselerasi,lainnya,1100000000,0.2727,modal kerja,rupiah,36753905768,10881827503,13168664110,3052945579,490742929,100,-10,-14,-30,-47,-76
SOUL,PT Mitra Tirta Buwana Tbk,6-Jan-23,Consumer Non-Cyclicals,PT Shinhan Sekuritas Indonesia; PT Wanteg Sekuritas,akselerasi,lainnya,1082500000,0.2494,modal kerja,rupiah,18746882985,2007337392,2588362641,1536026818,242945846,110,-10,-36,-59,-78,-80
BMBL,PT Lavender Bina Cendikia Tbk,11-Jan-23,Consumer Cyclicals,PT Mirae Asset Sekuritas Indonesia; PT KGI Sekuritas Indonesia,akselerasi,lainnya,1030000000,0.2719,bayar hutang,rupiah,33861830523,3201782057,9987416059,7964983230,4144689739,188,-10,-40,-65,-70,-88
KLIN,PT Klinko Karya Imaji Tbk,9-Aug-22,Consumer Cyclicals,PT Elit Sukses Sekuritas,akselerasi,lainnya,1307500000,0.1759,ekspansi,rupiah,27123688735,12428756058,1308992531,388901911,61964873,100,-10,-26,-44,-69,-54
NAYZ,PT Hassana Boga Sejahtera Tbk,6-Feb-23,Consumer Non-Cyclicals,PT Surya Fajar Sekuritas,akselerasi,lainnya,2550000000,0.2,modal belanja,rupiah,28692436237,5699543782,26794354331,12945741415,614697899,100,-10,-28,-3,-74,-83
KING,PT Hoffmen Cleanindo Tbk,16-Feb-23,Industrials,PT NH Korindo Sekuritas Indonesia,akselerasi,lainnya,2600000000,0.2,modal kerja,rupiah,72807293954,45236731195,1.04306E+11,14833436340,-689375684,130,-10,-12,32,4,35
MANG,PT Manggung Polahraya Tbk,11-Jan-24,Infrastructures,PT Panca Global Sekuritas,akselerasi,lainnya,3812500000,0.2,modal kerja,rupiah,1.14977E+11,44486491697,34880657674,6952458909,402720082,100,-10,-28,7,30,-3
RCCC,PT Utama Radar Cahaya Tbk,2-Aug-22,Transportation & Logistic,PT Elit Sukses Sekuritas,akselerasi,lainnya,750000000,0.2,modal belanja,rupiah,21840134064,4427662163,3738111018,1119103623,494573169,135,-10,6,-15,-1,13
SMKM,PT Sumber Mas Konstruksi Tbk,9-Mar-22,Infrastructures,PT Erdikha Elit Sekuritas,akselerasi,lainnya,1253000000,0.1995,modal kerja,rupiah,1.32242E+11,7047570299,1.26612E+11,19963020305,12289306791,264,-10,-33,-2,-7,213
PACK,PT Solusi Kemasan Digital Tbk,8-Feb-23,Basic Materials,PT NH Korindo Sekuritas Indonesia,akselerasi,start up,1537546000,0.2003,modal kerja,rupiah,41344745444,37129430154,26216568117,6027099394,-705950071,162,-10,-37,-33,4,-75
GRPM,PT Graha Prima Mentari Tbk,10-Jul-23,Consumer Non-Cyclicals,PT NH Korindo Sekuritas Indonesia,akselerasi,lainnya,1545000000,0.2,modal kerja,rupiah,50208565995,19273734762,3.25985E+11,23217888781,2264537620,120,-10,-30,-38,-60,-63
ASLI,PT Asri Karya Lestari Tbk,5-Jan-24,Infrastructures,PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,6250000000,0.2,modal belanja,rupiah,3.82752E+11,37090185004,82616225184,26614602130,10746700141,100,-11,-39,-49,-50,-50
PPRI,PT Paperocks Indonesia Tbk,8-Aug-23,Basic Materials,PT Indo Capital Sekuritas,pengembangan,lainnya,1075000000,0.2558,modal belanja,rupiah,73917112171,18482280950,44960222680,6873769093,2952763855,140,-15,-45,-41,-43,-14
MAXI,PT Maxindo Karya Anugerah Tbk,12-Jun-23,Consumer Non-Cyclicals,PT Shinhan Sekuritas Indonesia,pengembangan,lainnya,9610000000,0.1041,modal kerja,rupiah,1.54769E+11,48720516888,19098065425,5083068271,-1920310583,100,-15,-42,-39,-50,-51
BAIK,PT Bersama Mencapai Puncak Tbk,15-Feb-24,Consumer Cyclicals,PT MNC Sekuritas; PT KGI Sekuritas Indonesia,pengembangan,lainnya,1125000000,0.2,modal kerja,rupiah,77719719033,14973043982,96844728135,26346224638,8905663404,278,-24,-56,-65,-77,-78
KOCI,PT Kokoh Exa Nusantara Tbk,6-Oct-23,Properties & Real Estate,PT Panca Global Sekuritas,pengembangan,konglomerat,4415590000,0.1019,ekspansi,rupiah,77795553564,25428861660,18291976417,7245560598,4276600935,120,-30,-43,-58,-52,-57
PTPS,PT Pulau Subur Tbk,9-Oct-23,Consumer Cyclicals,PT NH Korindo Sekuritas Indonesia,pengembangan,lainnya,2167500000,0.2076,ekspansi,rupiah,76025046765,22019369145,13846817245,4922180163,5992302249,198,-35,-47,-30,-10,-59
